naam;code;vakken;graad;wekelijkse-uren;uren-beschikbaar;uren-onbeschikbaar;uren-liever-niet
A. Brouwer;AB;NL;1;20;1-50;none;none
;;NL;;;;;
D. Florius;DF;LA|GR;1;32;1-50;none;none
C. de Vries;CV;EN;2;20;1-50;none;none
;;EN;;;;;
A. Noniem;AN;FA;1;20;1-50;none;none
;;FA;;;;;
W. Ebbers;WE;GS;2;25;1-50;none;none
B. Halekor;BH;AK;2;23;1-50;none;none
G. Barendse;GB;WI;1;20;1-50;none;none
A. van Willigen;AW;WI;1;20;1-20;21-25;46-50
;;TN;;;;;
T. Rustenburg;TR;BI;2;20;1-50;none;none
H. Elium;HE;NS;2;20;1-50;none;none
R. Eactie;RE;NS;2;20;1-50;none;none
;;EC;;;;;
C. Omputernerd;CO;IN;1;20;1-50;none;none
;;TE;;;;;
J. Hutter;JH;HV;1;20;1-50;none;none
F. Lapdrol;FL;MU;1;20;1-50;none;none
F. van Harmelen;FH;LO;1;20;1-50;none;none
A. ten Teije;AT;LO;1;20;1-50;none;none
I. Uytdehaage;IU;GD;2;20;1-50;none;none
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
